category,title,url,embedding,subtitle
Access to Energy,Number of people with and without access to clean cooking fuels,https://ourworldindata.org/grapher/number-with-without-clean-cooking-fuels,"<iframe src=""https://ourworldindata.org/grapher/number-with-without-clean-cooking-fuels?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Clean cooking fuels and technologies represent non-solid fuels such as natural gas, ethanol or electric technologies."
Access to Energy,Number of people without access to clean fuels for cooking,https://ourworldindata.org/grapher/number-without-clean-cooking-fuel,"<iframe src=""https://ourworldindata.org/grapher/number-without-clean-cooking-fuel?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Clean cooking fuels and technologies represent non-solid fuels such as natural gas, ethanol or electric technologies."
Access to Energy,"People without clean fuels for cooking, by world region",https://ourworldindata.org/grapher/people-without-clean-cooking-fuels-region,"<iframe src=""https://ourworldindata.org/grapher/people-without-clean-cooking-fuels-region?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source: World Bank
Access to Energy,Share of the population without access to clean fuels for cooking,https://ourworldindata.org/grapher/share-of-the-population-without-access-to-clean-fuels-for-cooking,"<iframe src=""https://ourworldindata.org/grapher/share-of-the-population-without-access-to-clean-fuels-for-cooking?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Access to clean fuels or technologies such as natural gas, electricity, and clean cookstoves reduces exposure to indoor air pollutants, a leading cause of death in low-income households."
Access to Energy,Share with access to electricity vs. per capita energy consumption,https://ourworldindata.org/grapher/share-with-access-to-electricity-vs-per-capita-energy-consumption,"<iframe src=""https://ourworldindata.org/grapher/share-with-access-to-electricity-vs-per-capita-energy-consumption?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Having access to electricity is defined in international statistics as having an electricity source that can provide very basic lighting, and charge a phone or power a radio for 4 hours per day. Primary energy is measured in kilowatt-hours per person, using the substitution method."
Accountability & Transparency,Countries with policy guarantees for public access to information,https://ourworldindata.org/grapher/countries-that-adopt-guarantees-for-public-access-to-information,"<iframe src=""https://ourworldindata.org/grapher/countries-that-adopt-guarantees-for-public-access-to-information?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Number of countries that have adopted and implemented constitutional, statutory and/or policy guarantees for public access to information."
Accountability & Transparency,Government transparency,https://ourworldindata.org/grapher/government-transparency,"<iframe src=""https://ourworldindata.org/grapher/government-transparency?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",The scores capture the extent to which governments report economic data to the World Bank. Higher scores mean more data is reported.
Age Structure,"Adolescent birth rate, 10-14 year olds",https://ourworldindata.org/grapher/adolescent-fertility,"<iframe src=""https://ourworldindata.org/grapher/adolescent-fertility?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The adolescent birth rate is the number of live births per 1,000 women aged 10 to 14 years old."
Age Structure,"Adolescent birth rate, 15-19 year olds",https://ourworldindata.org/grapher/adolescent-fertility-15-19,"<iframe src=""https://ourworldindata.org/grapher/adolescent-fertility-15-19?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The adolescent birth rate is the number of live births per 1,000 women aged 15 to 19 years old."
Age Structure,Age dependency breakdown by young and old dependents,https://ourworldindata.org/grapher/age-dependency-breakdown,"<iframe src=""https://ourworldindata.org/grapher/age-dependency-breakdown?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Age dependency ratio is the ratio of dependents (either children aged 0-14 years, or older populations aged over 64 years) to the working age population (15-64 years). Data shows the relative composition of the dependent population between young and old."
Age Structure,Age dependency ratio,https://ourworldindata.org/grapher/age-dependency-ratio-of-working-age-population,"<iframe src=""https://ourworldindata.org/grapher/age-dependency-ratio-of-working-age-population?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",The age dependency ratio is the sum of the young population (under age 15) and elderly population (age 65 and over) relative to the working-age population (ages 15 to 64). Data are shown as the number of dependents per 100 working-age population.
Age Structure,Age dependency ratio projections,https://ourworldindata.org/grapher/age-dependency-ratio-projected-to-2100,"<iframe src=""https://ourworldindata.org/grapher/age-dependency-ratio-projected-to-2100?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",The age dependency ratio is the sum of the young population (under age 15) and elderly population (age 65 and over) relative to the working-age population (ages 15 to 64). Data are shown as the number of dependents per 100 working-age population. Projections to 2100 are based on the UN's medium population scenario.
Age Structure,Age group with the largest population,https://ourworldindata.org/grapher/age-group-with-the-largest-population,"<iframe src=""https://ourworldindata.org/grapher/age-group-with-the-largest-population?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Ten-year age group with the largest population.
Age Structure,Amphetamine use disorder death rate by age,https://ourworldindata.org/grapher/death-rates-amphetamine-overdoses-by-age,"<iframe src=""https://ourworldindata.org/grapher/death-rates-amphetamine-overdoses-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Estimated annual number of deaths by age group from amphetamine use disorders per 100,000 people in the same age group."
Age Structure,Average effective age of retirement for men,https://ourworldindata.org/grapher/average-effective-retirement-men,"<iframe src=""https://ourworldindata.org/grapher/average-effective-retirement-men?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Estimates are based on a weighted average of changes in labour force participation rates by age, for workers 40+"
Age Structure,"Average weekly leisure estimates by age, United States",https://ourworldindata.org/grapher/average-weekly-leisure-estimates-by-age-united-states,"<iframe src=""https://ourworldindata.org/grapher/average-weekly-leisure-estimates-by-age-united-states?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Leisure is defined as the time remaining after subtracting time spent in non-leisure activities from total time available. Non-leisure activities include work, school, home production, commuting, and personal care."
Age Structure,"Children under age 15, by world region",https://ourworldindata.org/grapher/population-younger-than-15-with-projections,"<iframe src=""https://ourworldindata.org/grapher/population-younger-than-15-with-projections?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Historic estimates with future projections based on the UN medium-fertility scenario.
Age Structure,Chronic respiratory disease deaths by age,https://ourworldindata.org/grapher/respiratory-disease-deaths-by-age,"<iframe src=""https://ourworldindata.org/grapher/respiratory-disease-deaths-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Annual number of deaths from chronic respiratory disease, differentiated by age category."
Age Structure,Death rate by age group in England and Wales,https://ourworldindata.org/grapher/death-rate-by-age-group-in-england-and-wales,"<iframe src=""https://ourworldindata.org/grapher/death-rate-by-age-group-in-england-and-wales?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Death rates in England and Wales by age group, measured as the number of deaths from all causes per 1,000 individuals per age bracket."
Age Structure,"Death rate from pneumonia, by age",https://ourworldindata.org/grapher/pneumonia-mortality-by-age,"<iframe src=""https://ourworldindata.org/grapher/pneumonia-mortality-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The estimated annual death rate from pneumonia and other lower respiratory tract infections per 100,000 people in each age group."
Age Structure,"Death rate from upper respiratory infections, by age",https://ourworldindata.org/grapher/death-rate-upper-respiratory-age,"<iframe src=""https://ourworldindata.org/grapher/death-rate-upper-respiratory-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","The annual number of deaths from upper respiratory infections per 100,000 people"
Age Structure,Deaths by age,https://ourworldindata.org/grapher/number-of-deaths-by-age-group,"<iframe src=""https://ourworldindata.org/grapher/number-of-deaths-by-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Total annual number of deaths from all causes, broken down by broad age categories."
Age Structure,Deaths by age group in England and Wales,https://ourworldindata.org/grapher/annual-deaths-by-age-england-and-wales,"<iframe src=""https://ourworldindata.org/grapher/annual-deaths-by-age-england-and-wales?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Total annual number of deaths for all causes and both sexes, broken down by age category."
Age Structure,"Deaths from drowning, by age",https://ourworldindata.org/grapher/drowning-deaths-by-age-group,"<iframe src=""https://ourworldindata.org/grapher/drowning-deaths-by-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>","Estimated annual number of deaths from drowning, differentiated by age category."
Age Structure,"Deaths from encephalitis, by age",https://ourworldindata.org/grapher/deaths-from-encephalitis-by-age,"<iframe src=""https://ourworldindata.org/grapher/deaths-from-encephalitis-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Estimated annual number of deaths from encephalitis
Age Structure,"Deaths from fire, by age",https://ourworldindata.org/grapher/fire-deaths-by-age,"<iframe src=""https://ourworldindata.org/grapher/fire-deaths-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Estimated annual number of fire-related deaths by age group across both sexes.
Age Structure,"Deaths from road incidents, by age",https://ourworldindata.org/grapher/road-incident-deaths-by-age,"<iframe src=""https://ourworldindata.org/grapher/road-incident-deaths-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Estimated annual number of deaths from road incidents by age group across both sexes
Age Structure,"Deaths from syphilis, by age",https://ourworldindata.org/grapher/deaths-from-syphilis-by-age,"<iframe src=""https://ourworldindata.org/grapher/deaths-from-syphilis-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Estimated annual number of deaths from syphilis
Age Structure,"Deaths from yellow fever, by age",https://ourworldindata.org/grapher/deaths-from-yellow-fever-by-age,"<iframe src=""https://ourworldindata.org/grapher/deaths-from-yellow-fever-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Estimated annual number of deaths from yellow fever.
Age Structure,Female population by age group,https://ourworldindata.org/grapher/female-population-by-age-group,"<iframe src=""https://ourworldindata.org/grapher/female-population-by-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source:
Age Structure,Male population by age group,https://ourworldindata.org/grapher/male-population-by-age-group,"<iframe src=""https://ourworldindata.org/grapher/male-population-by-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",Data source:
